log_time_ns,_full_text,_type,theta,x,y
1697563546826464355,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461819618664646,0.20992628394105614,-0.4828342420974105
1697563546831583576,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461804942103563,0.2099304453046341,-0.48283359908805296
1697563546836804892,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461777704982294,0.20993428452780447,-0.48283300636068
1697563546841804003,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461787297354335,0.2099378302577004,-0.4828324576647217
1697563546846424611,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461779068627954,0.20994110107805916,-0.4828319521402476
1697563546851582946,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546176452672309,0.20994411899250806,-0.4828314859602425
1697563546856652429,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461749551676307,0.20994690393581758,-0.4828310558250603
1697563546861491770,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546174251136357,0.20994947453536197,-0.4828306585455648
1697563546866650114,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461739519064424,0.2099518470718588,-0.4828302917471682
1697563546871795816,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461750636590557,0.20995403763944592,-0.48282995257008277
1697563546876493005,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461732328381003,0.20995605695184832,-0.482829640961887
1697563546882162228,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546174389380574,0.20995792269064734,-0.48282935200269844
1697563546886478707,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461723679221448,0.2099596420545373,-0.48282908685142606
1697563546891544071,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546171993513233,0.20996122992561422,-0.48282884142832877
1697563546896961401,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461715147690502,0.20996269517654412,-0.4828286150067087
1697563546901725381,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461713576770195,0.2099640475956435,-0.48282840591581405
1697563546906452608,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546172550000665,0.20996529671330524,-0.4828282123030027
1697563546912552027,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546171599626097,0.20996644784522392,-0.48282803463319507
1697563546916470248,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461714885972802,0.20996751075865633,-0.48282787029688756
1697563546921853312,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461718825689277,0.20996849204900953,-0.48282771839732747
1697563546926596967,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.15461686175301917,0.20996939478189575,-0.4828275799950326
1697563546931811949,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.1546171015716837,0.2099702321017566,-0.4828274496215998
